City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,kiruna,67.8557,20.2251,-9.49,67,8,1.03,SE,1682380555
146,prado,-17.3411,-39.2208,23.19,85,40,4.04,BR,1682380556
147,ambovombe,-25.1667,46.0833,20.15,86,1,2.63,MG,1682380556
148,farafenni,13.5667,-15.6,29.54,30,5,4.09,GM,1682380557
149,college,64.8569,-147.8028,-3.03,48,75,5.14,US,1682380557
150,mili,6.0815,171.735,28.21,78,100,8.15,MH,1682380558
151,pacific grove,36.6177,-121.9166,22.91,72,0,6.17,US,1682380442
152,amga,60.8953,131.9608,-1.41,86,100,2.6,RU,1682380558
153,wailua homesteads,22.0669,-159.378,25.24,91,100,3.09,US,1682380559
154,sao vicente,-23.9631,-46.3919,24.43,26,14,0.89,BR,1682380559
155,mar del plata,-38.0023,-57.5575,18.38,94,100,4.63,AR,1682380560
156,troitskoye,52.9821,84.6757,1.83,89,97,5.33,RU,1682380560
157,luganville,-15.5333,167.1667,28.84,69,73,3.11,VU,1682380560
158,fale old settlement,-9.3852,-171.2468,28.96,73,70,4.58,TK,1682380561
159,tralee,52.2704,-9.7026,3.05,88,11,2.4,IE,1682380561
160,christchurch,-43.5333,172.6333,18.04,71,17,2.06,NZ,1682380359
161,malango,-2.9627,119.9001,20.67,94,100,1.15,ID,1682380562
162,kuala tungkal,-0.8167,103.4667,24.13,95,98,1.33,ID,1682380563
163,jacksonville beach,30.2947,-81.3931,22.07,81,75,4.12,US,1682380271
164,puerto ayora,-0.7393,-90.3518,26.42,89,88,3.58,EC,1682380564
165,alaghsas,17.0187,8.0168,28.47,15,6,2.79,NE,1682380565
166,ishqoshim,36.7248,71.6133,4.92,46,74,1.44,TJ,1682380565
167,udachny,66.4167,112.4,-6.23,98,99,3.37,RU,1682380566
168,aykhal,66.0,111.5,-6.49,100,98,3.8,RU,1682380566
169,wewak,-3.5534,143.6268,28.79,76,100,3.11,PG,1682380567
170,madaoua,14.073,5.96,29.35,31,51,2.04,NE,1682380567
171,chibougamau,49.9168,-74.3659,3.79,93,100,4.12,CA,1682380568
172,southside,33.9245,-86.0225,18.06,31,0,4.12,US,1682380568
173,zhangzhou,24.5133,117.6556,18.96,89,100,0.65,CN,1682380569
174,lazaro cardenas,17.9583,-102.2,27.1,63,69,3.73,MX,1682380569
175,westport,41.1415,-73.3579,13.45,50,40,2.06,US,1682380570
176,ketchikan,55.3422,-131.6461,7.26,76,100,4.12,US,1682380571
177,labytnangi,66.6572,66.4183,-7.63,88,45,3.97,RU,1682380571
178,shahba,32.8551,36.629,9.75,38,17,2.86,SY,1682380572
179,castillos,-34.1667,-53.8333,18.41,94,77,3.42,UY,1682380572
180,withernsea,53.7311,0.0335,5.61,72,84,7.67,GB,1682380573
181,lompoc,34.6391,-120.4579,22.14,68,20,13.86,US,1682380573
182,toliara,-23.35,43.6667,20.29,86,0,3.18,MG,1682380574
183,tabas,33.5959,56.9244,24.06,32,99,0.56,IR,1682380574
